plot	species	abundance
Maple1	Acer saccharum	50
Maple1	Fagus grandifolia	50
Maple1	Tilia americana	50
Maple1	Quercus rubra	10
Maple1	Liriodendron tulipifera	0
Maple1	Carya cordiformis	0
Maple1	Calophyllum thalictroides	2
Maple1	Trillium grandiflorum	2
Maple1	Rubus hispidus	0
Maple1	Nyssa sylvatica	0
Maple1	Pinus strobus	0
Maple2	Acer saccharum	75
Maple2	Fagus grandifolia	0
Maple2	Tilia americana	75
Maple2	Quercus rubra	10
Maple2	Liriodendron tulipifera	0
Maple2	Carya cordiformis	0
Maple2	Calophyllum thalictroides	2
Maple2	Trillium grandiflorum	2
Maple2	Rubus hispidus	0
Maple2	Nyssa sylvatica	0
Maple2	Pinus strobus	0
Maple3	Acer saccharum	100
Maple3	Fagus grandifolia	0
Maple3	Tilia americana	0
Maple3	Quercus rubra	10
Maple3	Liriodendron tulipifera	0
Maple3	Carya cordiformis	0
Maple3	Calophyllum thalictroides	2
Maple3	Trillium grandiflorum	2
Maple3	Rubus hispidus	0
Maple3	Nyssa sylvatica	0
Maple3	Pinus strobus	0
Rich	Acer saccharum	50
Rich	Fagus grandifolia	50
Rich	Tilia americana	50
Rich	Quercus rubra	10
Rich	Liriodendron tulipifera	10
Rich	Carya cordiformis	10
Rich	Calophyllum thalictroides	2
Rich	Trillium grandiflorum	2
Rich	Rubus hispidus	0
Rich	Nyssa sylvatica	0
Rich	Pinus strobus	0
Acid	Acer saccharum	50
Acid	Fagus grandifolia	50
Acid	Tilia americana	50
Acid	Quercus rubra	0
Acid	Liriodendron tulipifera	0
Acid	Carya cordiformis	0
Acid	Calophyllum thalictroides	0
Acid	Trillium grandiflorum	0
Acid	Rubus hispidus	2
Acid	Nyssa sylvatica	2
Acid	Pinus strobus	2
